# MNC actor list for TABARI coding
# 
# This work was funded by US National Science Foundation grant SES-0719634
#
# This work is licensed under a Creative Commons
# Attribution-NonCommercial 3.0 Unported License.
#
# This dictionary is provided by the Computational Event Data System Project:
# http://eventdata.parusanalytics.com
#
# Last update [documentation only]: 2 October 2013

AFRICAN_COMMUNITY_PUBLISHING_AND_DEVELOPMENT_TRUST_	[MNCAFRMED]; NGO_Actors
AFRICA_CONFIDENTIAL_	[MNCAFRMED]; NGO_Actors
AFRICA_RESEARCH_BULLETIN_	[MNCAFRMED]; NGO_Actors
AIRASIA_	[MNCSEA] ;MleH 06 Jul 2009; NGO_Actors
ARCELOR_MITTAL_	[MNCLUX] ;MleH 06 Jul 2009 06 Jul 2009; NGO_Actors
ARTHUR_ANDERSEN_	[MNCUSA]; NGO_Actors
ASSOCIATES_FOR_INTERNATIONAL_RESOURCES_AND_DEVELOPMENT_	[MNCUSADEV]; NGO_Actors
BHP_BILLITON_	[MNCAUS] ;MleH 06 Jul 2009; NGO_Actors
BRAHMOS_AEROSPACE_	[MNCMIL] ;MleH 06 Jul 2009; NGO_Actors
BRITISH_GAS_INDIA_	[MNCGBR] ;MleH 06 Jul 2009; NGO_Actors
CHEVRON_	[MNC]; NGO_Actors
CHIEF_EXECUTIVE_OFFICER_OF_THE_MILLENIUM_CHALLENGE_CORPORATION_	[MNCUSA]; NGO_Actors
CHIEF_EXECUTIVE_OF_MCC_	[MNCUSA]; NGO_Actors
DAEWOO_	[MNCKOR] ;MleH 06 Jul 2009; NGO_Actors
E._SLACK_	[MNCUSA]; Union Carbide spokesman; NGO_Actors
E_SLACK_	[MNCUSA]; Union Carbide spokesman; NGO_Actors
FOREIGN_OWNED VESSEL_	[MNC] ;MleH 24 Jul 2009; NGO_Actors
GAS_AUTHORITY_OF_INDIA_	[MNCIND] ;MleH 06 Jul 2009; NGO_Actors
GRANGER_TELECOM_ [MNCGBRMED]; NGO_Actors
GRINDLAYS_	[MNCGBR]; British bank; NGO_Actors
HITACHI_	[MNCJPN]; NGO_Actors
HONDA_	[MNCJPN] ;MleH 10 Aug 2009; NGO_Actors
HUTCHISON_ESSAR_	[MNCINDMED]; NGO_Actors
HYUNDAI_	[MNCKOR] ;MleH 29 Jul 2009; NGO_Actors
INFOSYS_	[MNCINDMED]; NGO_Actors
JEUNE_AFRIQUE_	[MNCAFRMED]; but published in Paris; NGO_Actors
LENOVO_	[MNCHKG] ;MleH 06 Jul 2009; NGO_Actors
LOCKHEED_MARTIN_	[MNCUSA] ;MleH 10 Jul 2009; NGO_Actors
MNCS_	[MNC] ;MleH 10 Aug 2009; NGO_Actors
MNC_	[MNC] ;MleH 10 Aug 2009; NGO_Actors
MOODY'S_INVESTORS_SERVICE_	[MNC]; Banking; NGO_Actors
NEWMONT_CORPORATION_	[MNC]; Mining; NGO_Actors
NEWMONT_MINING_CORPORATION_	[MNC]; NGO_Actors
NOVARTIS_	[MNCCHEHLH] ;MleH 09 Jul 2009; NGO_Actors
R._BERZOK_	[MNCUSA]; Union Carbide spokesman; NGO_Actors
RELIANCE_INDUSTRIES_	[MNCIND] ;MleH 06 Jul 2009; NGO_Actors
ROBERT_BERZOK_	[MNCUSA]; Union Carbide spokesman; NGO_Actors
ROLLS_ROYCE_GROUP_	[MNCGBR] ;MleH 07 Aug 2009; NGO_Actors
R_BERZOK_	[MNCUSA]; Union Carbide spokesman; NGO_Actors
R_S_BUTOLA_	[MNCIND] ;MleH 24 Jul 2009; NGO_Actors
SANDLINE_	[MNCUAF]; American mercenary corporation; NGO_Actors
STEVEDORING_SERVICES_	[MNCLAB]; Cargo handling; NGO_Actors
T._FAILLA_	[MNCUSA]; Union Carbide spokesman; NGO_Actors
TEXACO_	[MNC]; Oil; NGO_Actors
TOM_FAILLA_	[MNCUSA]; Union Carbide spokesman; NGO_Actors
TOYOTA_	[MNCJPN] ;ELH 13 Jul 2009, ed. MleH; NGO_Actors
T_FAILLA_	[MNCUSA]; Union Carbide spokesman; NGO_Actors
UNION_CARBIDE_	[MNCUSA]; primarily chemical processes and manufacture; NGO_Actors
UNION_TEXAS_	[MNC]; Oil; NGO_Actors
UNITED_MERIDIAN_CORPORATION_	[MNC]; NGO_Actors
UNOCAL_	[MNC]; Oil; NGO_Actors
USA_GLOBAL_LINK_	[MNC]; Telecom; NGO_Actors
VIDEOCON_INDUSTRIES_	[MNCIND] ;MleH 06 Jul 2009; NGO_Actors
VODAFONE_	[MNCGBRMED]; NGO_Actors
ABN_AMRO_	[NLDGOVBUS >081004][MNCNLD]	; recoded from SAE files
A._SCHULMAN_	[MNCUSA]	; Major Chemicals	$643,000,000
A.H._BELO_CORPORATION_	[MNCMED]	Newspapers/Magazines	$137,000,000
A_POWER_ENERGY_GENERATION_SYSTEMS_	[MNCCHN]	; Military/Government/Technical	$272,000,000
A123_SYSTEMS_	[MNCUSA]	; Industrial Machinery/Components	$799,000,000
AAON_INC_	[MNCUSA]	; Industrial Machinery/Components	$374,000,000
AAR_CORP_	[MNCUSA]	; Aerospace	$685,000,000
AARON'S_INC_	[MNCUSA]	; Diversified Commercial Services	$1,000,000,000
ABAXIS_	[MNCUSA]	; Industrial Machinery/Components	$434,000,000
ABB_LTD_	[MNCCHE]	; Electrical Products	$4,000,000,000
ABBEY_NATIONAL_	[MNCGBR <040726][MNCESP]	; recoded from SAE files
ABERCROMBIE_&_FITCH_	[MNCUSA]	; Clothing/Shoe/Accessory Stores	$3,000,000,000
ABERDEEN_ASIA_PACIFIC_INCOME_FUND_	[MNCUSA]	; n/a	$1,000,000,000
ABERDEEN_AUSTRALIA_EQUITY_FUND_	[MNCUSA]	; n/a	$209,000,000
ABERDEEN_CHILE_FUND_	[MNCUSA]	; n/a	$211,000,000
ABERDEEN_EMERGING_MARKETS_TELECOMMUNICATIONS_FUND_INC_	[MNCUSA]	; n/a	$143,000,000
ABERDEEN_GLOBAL_INCOME_FUND_	[MNCUSA]	; n/a	$109,000,000
ABERDEEN_INDONESIA_FUND_	[MNCUSA]	; n/a	$104,000,000
ABERDEEN_ISRAEL_FUND_	[MNCUSA]	; n/a	$64,000,000
ABINGTON_BANCORP_	[MNCUSA]	; Banks	$207,000,000
ABIOMED_	[MNCUSAHLH]	; Medical/Dental Instruments	$365,000,000
ABM_INDUSTRIES_	[MNCUSA]	; Diversified Commercial Services	$1,000,000,000
ABOVENET_INC_	[MNCUSAMED]	; Telecommunications Equipment	$1,000,000,000
ABRAXAS_PETROLEUM_	[MNCUSA]	; Oil & Gas Production	$196,000,000
ABRAXIS_BIOSCIENCE_	[MNCUSAHLH]	; Major Pharmaceuticals	$3,000,000,000
ABU_DHABI_NATIONAL_ENERGY_COMPANY_	[MNCARE]	; converted from SAE files
ACACIA_RESEARCH_CORPORATION_	[MNCUSA]	; Multi-Sector Companies	$549,000,000
ACADIA_REALTY_TRUST_	[MNCUSA]	; Real Estate Investment Trusts	$767,000,000
ACCELRYS_	[MNCUSA]	; Computer Software: Prepackaged Software	$349,000,000
ACCENTURE_PLC_	[MNCBMU]	; Business Services	$24,000,000,000
ACCESS_NATIONAL_CORPORATION_	[MNCUSA]	; Savings Institutions	$62,000,000
ACCO_BRANDS_CORPORATION_	[MNCMED]	; Publishing	$341,000,000
ACCRETIVE_HEALTH_INC_	[MNCHLH]	Other Consumer Services	$991,000,000
ACCURAY_INCORPORATED_	[MNCUSAHLH]	; Medical/Dental Instruments	$355,000,000
ACE_LTD_	[MNCCHE]	; Property-Casualty Insurers	$18,000,000,000
ACER_INC_	[MNCTWN]	; converted from SAE files
ACERGY_S.A.	[MNCGBR]	; Oilfield Services/Equipment	$3,000,000,000
ACETO_CORPORATION_	[MNCUSA]	; Specialty Chemicals	$155,000,000
ACHILLION_PHARMACEUTICALS_	[MNCUSAHLH]	; Major Pharmaceuticals	$160,000,000
ACI_WORLDWIDE_	[MNCUSA]	; Computer Software: Prepackaged Software	$662,000,000
ACME_PACKET_	[MNCUSA]	; Computer Communications Equipment	$2,000,000,000
ACORDA_THERAPEUTICS_	[MNCUSAHLH]	; Biotechnology: Biological Products (No Diagnostic Substances)	$1,000,000,000
ACORN_ENERGY_	[MNCUSA]	; Military/Government/Technical	$70,000,000
ACTEL_CORPORATION_	[MNCUSA]	; Semiconductors	$403,000,000
ACTIONS_SEMICONDUCTOR_CO_	[MNCCHN]	; Semiconductors	$184,000,000
ACTIVE_POWER,_INC_	[MNCUSA]	; Electric Utilities: Central	$97,000,000
ACTIVIDENTITY_CORPORATION_	[MNCUSA]	; Computer Software: Prepackaged Software	$97,000,000
ACTIVISION_BLIZZARD_	[MNCUSA]	; Computer Software: Prepackaged Software	$13,000,000,000
ACTUANT_CORPORATION_	[MNCUSA]	; Industrial Machinery/Components	$1,000,000,000
ACTUATE_CORPORATION_	[MNCUSA]	; Computer Software: Prepackaged Software	$192,000,000
ACUITY_BRANDS_INC_	[MNCUSA]	; Building Products	$1,000,000,000
ACURA_PHARMACEUTICAL_	[MNCUSAHLH]	; Major Pharmaceuticals	$109,000,000
ACXIOM_CORPORATION_	[MNCUSA]	; EDP Services	$1,000,000,000
